location,continent,life_expectancy,handwashing_facilities,total_deaths,total_cases,total_deaths_devided_by_total_cases
Afghanistan,Asia,64.83,37.746,1418.0,38520.0,0.037
Algeria,Africa,76.88,83.741,1571.0,46938.0,0.033
Angola,Africa,61.15,26.664,120.0,2981.0,0.04
Armenia,Asia,75.09,94.043,903.0,44953.0,0.02
Azerbaijan,Asia,73.0,83.241,552.0,37557.0,0.015
Bangladesh,Asia,72.59,34.808,4552.0,329251.0,0.014
Barbados,North America,79.19,88.469,7.0,180.0,0.039
Belize,North America,74.62,90.083,16.0,1361.0,0.012
Benin,Africa,61.77,11.035,40.0,2213.0,0.018
Bhutan,Asia,71.78,79.807,0.0,234.0,0.0
Bolivia,South America,71.51,25.383,7097.0,122308.0,0.058
Bosnia and Herzegovina,Europe,77.4,97.164,669.0,21961.0,0.03
Burkina Faso,Africa,61.58,11.877,56.0,1466.0,0.038
Burundi,Africa,61.58,6.144,1.0,466.0,0.002
Cambodia,Asia,69.82,66.229,0.0,274.0,0.0
Cameroon,Africa,59.29,2.735,414.0,19604.0,0.021
Central African Republic,Africa,53.28,16.603,62.0,4736.0,0.013
Chad,Africa,54.24,5.818,79.0,1045.0,0.076
Colombia,South America,77.29,65.386,21817.0,679513.0,0.032
Comoros,Africa,64.32,15.574,7.0,452.0,0.015
Congo,Africa,64.57,47.964,83.0,4891.0,0.017
Costa Rica,North America,80.28,83.841,531.0,49897.0,0.011
Cote d'Ivoire,Africa,57.78,19.351,119.0,18778.0,0.006
Cuba,North America,78.8,85.198,104.0,4377.0,0.024
Democratic Republic of Congo,Africa,60.68,4.472,259.0,10291.0,0.025
Dominican Republic,North America,74.08,55.182,1889.0,100131.0,0.019
Ecuador,South America,77.01,80.635,10627.0,110757.0,0.096
Egypt,Africa,71.99,89.827,5560.0,100228.0,0.055
El Salvador,North America,73.32,90.65,765.0,26511.0,0.029
Equatorial Guinea,Africa,58.74,24.64,83.0,4985.0,0.017
